household_index,evaluation_windows,forecast_points,mae_kwh,rmse_kwh,bias_kwh,r2,seasonal_naive_mae_kwh,beats_seasonal_naive
621,24,4032,0.15414429865759013,0.2628885697909441,-0.05292917419287805,0.07347407270348039,0.2071867557639803,1
625,24,4032,0.14502517653570052,0.3501477182864065,-0.043372334291537605,0.4274076098369388,0.16670634878414964,1
629,24,4032,0.22541579485700894,0.35684572338148746,-0.04163146937554259,0.38028961904970615,0.2982309031122852,1
630,24,4032,0.08953860515381194,0.18189330684980481,-0.021789018805730084,0.2965875713294638,0.11959449420701565,1
637,24,4032,0.3450898579247887,0.5455447827914169,-0.11338262162393048,0.1168926508564786,0.46677628969625823,1
642,24,4032,0.1608325352417379,0.29633339113796764,-0.034558031867842176,0.13947511999591955,0.23558110162608384,1
654,24,4032,0.4874199185139751,0.7970368828015497,-0.19695107672651785,0.1047066260349836,0.6442395864601528,1
662,24,4032,0.07699744280903865,0.15032951571089279,-0.025348578847115277,0.34496532349122955,0.09182390923244442,1
674,24,4032,0.12928439126260363,0.24106391253842221,-0.0435205410155634,0.12660527516619524,0.1778628476158557,1
675,24,4032,0.06479081508356131,0.1171989524127223,-0.013971202860822872,0.3022462447636084,0.08798214323755857,1
683,24,4032,0.33168797447006143,0.531219953134762,-0.06120342305225749,0.3293232621447737,0.42020436541901696,1
685,24,4032,0.2530576452753314,0.5030518053311571,-0.10596722932828087,0.2765283147205957,0.34673660720231025,1
689,24,4032,0.5273979926548366,0.8533250245451246,-0.030361159922673353,0.2979784207008568,0.6354759454483255,1
692,24,4032,0.6324878530133338,1.3239512180085649,-0.33880167748660794,0.07401011803008528,0.8764563543640728,1
693,24,4032,0.47156604036452276,0.8007057406866552,-0.18819313313043307,0.7132582951772012,0.4781889882943933,1
694,24,4032,0.28819105098308584,0.4810964343551767,-0.10328124156720671,0.15728838420486757,0.3373355653713502,1
697,24,4032,0.08412843011596817,0.21326681302416148,-0.04354923534935104,0.26829652314593,0.09994568430452741,1
702,24,4032,0.0422247688774304,0.07608215339845395,-0.009151810931461302,0.2845191110338344,0.05189459326385755,1
707,24,4032,0.10194644627590028,0.25127078294735444,-0.05625291214516712,0.05823210018120295,0.13594320422178874,1
711,24,4032,0.21873179838682213,0.4477007643700383,-0.10793782772851132,0.06888275671839372,0.28930431651321076,1
715,24,4032,0.22872470280927945,0.474945530984881,-0.09534063623268305,0.06602853194089864,0.31095758922368527,1
745,24,4032,0.1853149126224693,0.3053364020192472,-0.04783350800622314,0.3018366656081024,0.2384610611701473,1
748,24,4032,0.2439573032334299,0.449789347872447,-0.08597827753946481,0.25178062688766756,0.2785890378420138,1
753,24,4032,0.11016994893979577,0.22162415023270654,-0.017767580739769435,0.34617671208897094,0.14228621101938188,1
756,24,4032,0.11972506860980675,0.22634577840499995,-0.046800197937363196,0.33754768864348894,0.15107167716182412,1
764,24,4032,0.1680848299606984,0.33065804836381374,-0.05798857633600987,0.1984462176829377,0.21608606100522187,1
772,24,4032,0.09813766139152919,0.20692757731607872,-0.02729337587250426,0.3689911253993363,0.1332879461761978,1
775,24,4032,0.09524873255664022,0.16459279070214983,-0.010799027611014141,0.10417837980758593,0.11953745041602007,1
776,21,3528,0.14278442789631518,0.28292934537755615,-0.04465043891692226,0.2728340302557509,0.18667602058882296,1
777,24,4032,0.4063194605691861,0.5660546040299836,-0.09697131762680199,0.17551636238533863,0.3898105158337525,0
796,24,4032,0.061920054016289736,0.09335280143092194,-0.005701812679381831,0.5971982076728102,0.07381150842639539,1
803,24,4032,0.30292512562924195,0.4830813765223819,-0.0686047355319181,0.21894218985123026,0.41501041490673307,1
806,24,4032,0.1691912049501543,0.23985645117605284,-0.007874386052467994,0.4264622579382329,0.2234052572905692,1
808,24,4032,0.13592183617699433,0.21647478734382056,-0.009414962958082527,0.37209396912276227,0.15920808515465257,1
820,24,4032,0.08244424822392858,0.11897571489714093,0.005682639975381631,0.15543221981500455,0.10731473205692416,1
821,24,4032,0.11212514657046764,0.17996908837778292,-0.006981175150796179,0.5397591423429967,0.12764161713384387,1
831,16,2688,0.08781157991671491,0.158989118137403,-0.033976719670352484,0.04569364825573785,0.12437686011461276,1
836,24,4032,0.3325661216938262,0.5637842288352284,-0.09035622086357473,0.24529305334415297,0.42414310505144326,1
839,24,4032,0.5449674381608409,0.9883356029683674,-0.1976522221451714,0.09017394175358018,0.6844223716466259,1
847,24,4032,0.2756646921126438,0.5342523388420184,-0.1264392010874987,0.15763847590544078,0.3694990059279556,1
848,24,4032,0.16281385471146287,0.27810063318430756,-0.05613337161799242,0.29965116570648564,0.2081587303592454,1
849,24,4032,0.15645532377455976,0.2577057583704247,-0.031010313460322483,0.24474012915908916,0.21433258925135884,1
852,24,4032,0.1810567567271868,0.3177605158369775,-0.04542842049877869,0.19793944005811537,0.2467192462285138,1
865,24,4032,0.06537418207292267,0.0918632541736799,-0.002653621198583601,0.1562369155838469,0.07849330348096648,1
873,24,4032,0.19808245806710884,0.39067565749790584,-0.0783953336788164,0.12331752595518897,0.2874002964790201,1
876,24,4032,0.07083426402939025,0.12482291547552458,-0.018352044209013766,0.33983154493692036,0.0966507934203874,1
881,24,4032,0.16208079098058598,0.3835603032032292,-0.08074148578776254,0.0647629867872338,0.23369419569933106,1
886,24,4032,0.12788226211347456,0.250052458339457,-0.061983910864145154,0.18282272322809945,0.17645188408075935,1
887,24,4032,0.15164975166904726,0.31095989253768236,-0.0628135988640318,0.20077289809691923,0.21479712305257895,1
889,24,4032,0.5561880151822512,0.7521048521698294,-0.14075143744666424,0.33177646960126816,0.6037495051601177,1
895,24,4032,0.05493421588436745,0.09612563473117972,-0.006091699091946736,0.46169058226002846,0.06898883926462279,1
899,16,2688,0.8329094284147557,1.1157129765359783,0.2338961495552212,-0.10868660219689064,1.157549106288657,1
902,24,4032,0.19115963577854608,0.3383511459001734,-0.083101841968499,0.20845607094893837,0.25083804504746304,1
903,24,4032,0.16010818452877362,0.2494382320016071,-0.039258374198753804,0.7085347616928441,0.1958831846871088,1
925,24,4032,0.15187892814061515,0.2881806463590169,-0.054749360389819014,0.2000522386908763,0.19930208341120595,1
926,24,4032,0.09967578222442951,0.1516942642506792,-0.028680619377169817,0.3059677775489098,0.12565873004496098,1
928,24,4032,0.6034766925971896,0.7889480967964551,-0.1656873385673241,0.31810965693919746,0.7571242503038357,1
938,24,4032,0.23525846921210547,0.40543695980381805,-0.06834640021118084,0.14579694790803643,0.3203144840256769,1
940,24,4032,0.2484330748640267,0.5119677783139552,-0.11983361186659229,0.14069104936471144,0.3318427562905801,1
941,24,4032,0.11383702153883253,0.25219832068575543,-0.04784289001771766,0.16877510874114832,0.15132068484834033,1
943,24,4032,0.10071578521155826,0.17202112009759538,-0.011987042378648997,0.25989530898003177,0.14442237072979056,1
945,24,4032,0.04865826424955028,0.08021571908370503,-0.0034820151463102935,0.5790905567385554,0.06284250991117755,1
947,24,4032,0.04408513630499199,0.09319038509053645,-0.02133820676877688,0.18340695571324828,0.05951190458948813,1
950,24,4032,0.10204018333960059,0.18148704055940687,-0.019381419880249138,0.33786581379791325,0.12739360180502343,1
953,17,2856,0.07053917051613831,0.13019370951725154,-0.022967073521172467,0.23086670885860838,0.09768627411281529,1
964,24,4032,0.04624198846304641,0.08873855154277897,-0.013033601756592,0.2667969349940228,0.0561264882710511,1
970,24,4032,0.05390037669170101,0.133881152044585,-0.027112729724086376,0.1775772470739052,0.06666493046260069,1
973,24,4032,0.10632839996556175,0.25068094274231917,-0.05289086214699117,-0.08039154976868157,0.15221378897290883,1
982,24,4032,0.06773876758303404,0.10923792494645096,-0.0132751094892488,0.427858419365986,0.09308705365263104,1
991,24,4032,0.4191294299800777,0.8057109752343642,-0.1592456506350861,0.1488418645568036,0.5736230168388121,1
992,24,4032,0.340347763854042,0.5041640750399438,-0.09205048421068886,0.40582163920285597,0.39439285766252036,1
1000,24,4032,0.14234643495671215,0.23605588246277756,-0.044164886886608745,0.20841843747112365,0.2020669638415769,1
1002,24,4032,0.14652887586918142,0.3060379404392408,-0.07872282777957264,0.13890224014510355,0.18151016897773223,1
1008,24,4032,0.11206562295999556,0.22980523589804427,-0.051873103312645406,0.1440862374530264,0.1651294641825001,1
1009,24,4032,0.13029267742032452,0.1956867088176251,-0.01891254234157266,0.4340913370618338,0.16646825364376935,1
1010,24,4032,0.23252171111507489,0.3658671496320556,-0.0349541801371656,0.5115161254742353,0.26455977203006603,1
1013,20,3360,0.19993231322261548,0.3422873427876417,-0.0675484300812795,0.08303305167590491,0.24635922637590696,1
1014,24,4032,0.24467622280298246,0.4121087558838674,-0.09955490770794097,0.122061165642954,0.334250248944579,1
1021,24,4032,0.19421529970575302,0.32331900677156844,-0.06852363733323438,0.2791341435193265,0.264347966143211,1
1025,24,4032,0.052683401111853385,0.08623690331049262,-0.010501891221215446,0.24889683770618964,0.06812847198896288,1
1026,24,4032,0.15056026969031092,0.26271107466924937,-0.0506936467866162,0.31944429697165744,0.19480580410417464,1
1032,24,4032,0.2708593511358938,0.5481410102808016,-0.1452090841004743,0.14966168198639385,0.36867931456349434,1
1041,24,4032,0.07117155006539727,0.14893673106460184,-0.0034369894687736793,0.26256854394000595,0.09597346252976133,1
1045,24,4032,0.21503832292676503,0.3644992810716263,-0.05969837381659696,0.3492687245943339,0.2523963303759783,1
1048,24,4032,0.3726676878341961,0.5516966835395152,-0.09081473139425118,0.21875046155205058,0.41624429548114894,1
1068,24,4032,0.08078283094801009,0.12212190157978582,-0.017113931517722825,0.7692493252573409,0.09324206395392558,1
1071,24,4032,0.2768934511113912,0.4641941860242648,-0.03154263836479494,0.3162609034778866,0.36016319602513536,1
1088,24,4032,0.16466724367014,0.28603822127460465,-0.05520411477320724,0.4683401755634433,0.210271577206662,1
1089,24,4032,0.20209517975204758,0.32176284375236697,-0.06608204379500378,0.18230851944974735,0.2556016854904888,1
1092,24,4032,0.2636157661964673,0.45808407663428513,-0.09920396676863588,0.05010004533652335,0.3732552082473708,1
1095,24,4032,0.12305041755889616,0.2786273836569971,-0.07729092878215606,0.06888174154696114,0.1705942464925881,1
1111,24,4032,0.44702703955986106,0.6107313408621318,-0.08314204736269035,0.38245271942107273,0.5639776783147161,1
1126,24,4032,0.10648261597343085,0.184006623623208,-0.0066397606768453165,0.35659477986202026,0.13420039728387362,1
1133,24,4032,0.07240022588077755,0.10268919913509793,0.02722220343079359,0.6360830396704767,0.08231324464866212,1
1144,24,4032,0.15576468898899973,0.22952844370107572,-0.03090655401585594,0.3435104145972583,0.18709623052309904,1
1147,24,4032,0.1617908705513747,0.309605422949105,-0.08032659950503518,0.10360861156878676,0.20764062372923253,1
1166,24,4032,0.02475035970934504,0.04337771374156802,-0.004130461243986492,0.614040837386483,0.02908432540587253,1
1167,24,4032,0.32403969964278595,0.5308569339366486,-0.07419856084835907,0.4105480674811549,0.43697445262740886,1
1170,24,4032,0.10343781959391125,0.20325060897637326,-0.03918115989977701,0.2866765893618346,0.1235838299783479,1
1177,24,4032,0.19570263420113376,0.3176126437793202,-0.030121005890477035,0.04724280654127733,0.2619337797135351,1
1189,24,4032,0.14784252551561666,0.2234157206057768,-0.033172058285258356,0.627408344279563,0.17514186486461392,1
1190,24,4032,0.08981081455140301,0.15269171288798508,-0.021239692058842925,0.49743651741071904,0.11394246016991222,1
1191,24,4032,0.11858430416933038,0.23248161696959957,-0.0373348781371504,0.09954929170475679,0.16188169606464234,1
1192,24,4032,0.37596541564978125,0.6436333839172041,0.06040323103061094,0.40170739945062206,0.4359446919693183,1
1195,24,4032,0.10563873699201005,0.1668302913338466,-0.03371923352177772,0.03029154474545237,0.13849181543466532,1
1200,24,4032,0.24137583745103922,0.4768953165554566,-0.08489850286342618,0.3732051536034592,0.3009732126485601,1
1203,24,4032,0.14288729078705525,0.20778572964650113,-0.006883732473758597,0.2393240244207755,0.17844518844134336,1
1206,24,4032,0.27329504118570763,0.38124892441496233,-0.01731342234970292,0.10456712209365271,0.3506145829654535,1
1213,24,4032,0.06723728417030846,0.17206525533329164,-0.024680741760502792,0.11011722287667525,0.10011656742472763,1
1215,24,4032,0.07942680123591027,0.14476618550104717,-0.012831589257869397,0.5672526409483356,0.0923286207955301,1
1224,24,4032,0.22031573341265026,0.42739130654029267,-0.10783606386070864,0.22815987720748832,0.3044317957616249,1
1235,24,4032,0.10864580266865059,0.20290951644276703,-0.027523941942490637,0.28966966766402,0.1291959322490064,1
1236,24,4032,0.13888144074377443,0.26880822296379947,-0.05750871491470626,0.3364784125973289,0.19731175553401015,1
1237,24,4032,0.2392288781480775,0.4391266519282515,-0.13403737354314044,0.014075801926012321,0.3215039687486188,1
1268,24,4032,0.4104683426301649,0.7487701408899694,-0.18355851371690357,0.21382843755889158,0.5391118537116286,1
1270,24,4032,0.1662637883592175,0.2842524054332511,-0.06580355733407602,0.3329353622974217,0.22155977171173113,1
1274,24,4032,0.08538860143328618,0.20179841701090323,-0.03278440369998977,0.14215906347073193,0.09621850117423852,1
1276,24,4032,0.17973053570289815,0.3355905814722643,-0.08222919513678385,0.172369378104811,0.20695114116709207,1
1296,24,4032,0.11950873306191098,0.19935600845555446,-0.029282724660348206,0.15020712956227378,0.1562100687056839,1
1307,24,4032,0.25744504529044093,0.4293152464447005,-0.11551770039959737,-0.0024966969733737354,0.3381324399074185,1
1320,24,4032,0.2153596099324493,0.3835379871290443,-0.059918420618545035,0.12124339958926644,0.2748928574932044,1
1324,24,4032,0.14176813538541042,0.25343281222549185,-0.03871899168007076,0.32225406551733726,0.18560962293422706,1
1325,24,4032,0.24197995337465453,0.47035726507424414,-0.11053202720358968,0.4387556593618728,0.30633258904858923,1
1326,24,4032,0.32660960998120053,0.5788313595064816,-0.09990950603599823,0.3696321833121007,0.36642634063508245,1
1327,24,4032,0.32539408848369644,0.694793836588268,-0.1382997913271307,0.08706482957063777,0.45511731074472506,1
1336,24,4032,0.2928948812439644,0.4552728787016597,-0.04420702908585857,0.008830664304724123,0.3911294648449199,1
1337,24,4032,0.10217536153689412,0.1752960383238764,-0.022264297795666767,0.6959035371770405,0.12683680500661482,1
1341,23,3864,0.20227745541141948,0.32779712536414457,-0.04209085141827293,0.44817275964026393,0.2553563655390719,1
1344,24,4032,0.14415240090521467,0.2551668699990619,-0.022368128739467395,0.3269873212164226,0.17369717103521531,1
1345,24,4032,0.5671657394231593,0.8204668792548081,-0.14821551877003725,0.06294800302770887,0.6994655240421361,1
1348,24,4032,0.24182387844600256,0.43540497022571695,-0.07077515614958155,0.5293036106254125,0.28904464201713426,1
1349,23,3864,0.02457707525591518,0.04450828934964157,-0.007946953467646803,0.37867484547220454,0.02981444083223617,1
1353,24,4032,0.12378431826512078,0.3108110783369506,-0.031672403743002744,0.1778351386396987,0.17333705443750314,1
1354,24,4032,0.15395489620462444,0.2830585007971699,-0.061042479717076596,0.5258748023065871,0.18390947368942082,1
1355,24,4032,0.08150188358212333,0.17867612364271016,-0.03389363357656828,0.28563685632234814,0.12125496017295749,1
1357,24,4032,0.41347487823342877,0.5941153195069979,-0.09028136119290832,0.1864762827668207,0.5303559031832726,1
1373,24,4032,0.44963520555387415,0.7146827320610724,-0.13269186504776515,0.36536996628017515,0.5534310503788884,1
1378,24,4032,0.3001748901719804,0.5479328750494522,-0.07523816702647194,0.24086471325084535,0.3898273807768303,1
1379,19,3192,0.14500720651101387,0.3049510816380739,-0.0713905183876162,0.1650199500231574,0.17478759348320128,1
1380,24,4032,0.11705124231345493,0.18402890785322482,-0.02462404676009014,0.12455582309455149,0.16181845187684446,1
1384,24,4032,0.0819638354060728,0.11681443310952372,-0.014290356949444801,0.059352398766405745,0.10490153778791575,1
1387,24,4032,0.11428210586503458,0.1823827655322675,-0.036122701773401496,0.31363524700332046,0.1360818452505757,1
1388,24,4032,0.2397872710633757,0.39122017035711765,-0.07576999726653513,0.4602848904100564,0.2965342275122003,1
1389,24,4032,0.3782892303711306,0.6756475960846513,-0.11778947822232214,0.2696190356811178,0.46589731969242354,1
