household_index,evaluation_windows,forecast_points,mae_kwh,rmse_kwh,bias_kwh,r2,seasonal_naive_mae_kwh,beats_seasonal_naive
1378,24,576,0.2624058862857055,0.4943686024421204,-0.07524118399467422,0.26118405529954636,0.3799947925274157,1
1379,20,480,0.13657072195007156,0.3029333605362694,-0.08780087649356574,0.29285475193540256,0.1608979160664603,1
1380,24,576,0.11337123276381236,0.17936898188358455,-0.03455335850594565,0.177922138427555,0.1546805552174596,1
1384,24,576,0.08204816292790282,0.11914305509100873,-0.030808716669626948,0.08211011401247836,0.10041666628482442,1
1387,24,576,0.09898743329621437,0.16430867283863484,-0.03316844460399201,0.43276199271781335,0.13149479236583123,1
1388,24,576,0.24856217255971083,0.42274127220103463,-0.08840782129360984,0.4382483835674702,0.31678125187237227,1
1389,24,576,0.3637766606148539,0.6563816772647222,-0.12851305312425312,0.3414593147596564,0.44586457938162816,1
1392,24,576,0.0839447907152741,0.1843627133373046,-0.040127403306541964,0.05306108462242043,0.12697048575500958,1
1393,24,576,0.11015596595178875,0.20524977812081988,-0.05861564779964586,0.08582548290982805,0.16079340337051284,1
1395,24,576,0.2604221760153046,0.4054135268486187,-0.03269039853087937,0.1537116524310178,0.3964184017192262,1
1400,24,576,0.09236834405520414,0.1851574258084094,-0.04336596618910941,0.21990018028494707,0.13419791688728663,1
1402,24,576,6.916080942969418e-06,8.919982976194504e-05,-2.836383131843895e-08,-0.1477442894296579,3.4722223871439282e-06,0
1407,24,576,0.13374045510621121,0.2759879356256795,-0.07188578587698026,0.026436641266756822,0.17701909682040828,1
1413,24,576,0.18006113831264278,0.2909204364169745,-0.040847384189772934,0.4040829490985616,0.24847048559846976,1
1415,24,576,0.3615345179568976,0.5671844889484732,-0.117379600311526,0.5172546083822538,0.48621007207677597,1
1419,24,576,0.1457797809335817,0.3270090191327319,-0.08403806438178031,-0.08221829631318833,0.23046527535512318,1
1422,24,576,0.02418969549317909,0.041100933672304114,-0.00267183475686276,-0.006479089069498345,0.03205729170339408,1
1426,24,576,0.12572547708017132,0.23215968024937642,-0.03631968105522295,0.12329598589145963,0.19884548527706,1
1429,24,576,0.19427637908504242,0.320169830226456,-0.08767150231223139,0.39962207328811095,0.2814218762796372,1
1439,24,576,0.2251091024049351,0.3807759211540713,-0.11160633817134011,0.2896293249245656,0.313720486450216,1
1440,24,576,0.05836422508582473,0.11334339666307436,-0.013263661336774627,0.4884310696810845,0.08662499950474335,1
1443,24,576,0.09688166039349097,0.19082522193505724,-0.02132025736823885,0.24118884509219418,0.13852256851451886,1
1461,24,576,0.16381795078309047,0.291433635886325,-0.062148836027416915,0.41306995021668513,0.22461805391746262,1
1462,24,576,0.09882017843321794,0.2464460067502042,-0.06323887345691521,0.10648626543631834,0.13716493060605395,1
1469,24,576,0.15107894373229808,0.296862319985537,-0.057050225531889334,0.23566149722983587,0.23509375135310823,1
1471,24,576,0.35807537582392496,0.6231676056310166,-0.13186409355451664,0.044238420908878306,0.48276388716314816,1
1474,24,576,0.16259642103169528,0.3574118025925995,-0.07962265892678665,0.2146467119777684,0.2242048615977789,1
1478,24,576,0.06675191298644575,0.10025845155585952,-0.02339717800108095,0.3987263255174256,0.08703645872366098,1
1480,24,576,0.07590312142080317,0.1610101172311608,-0.03986392976043539,0.3906207757268483,0.10493749925970203,1
1492,24,576,0.11745154468937674,0.23246761757718012,-0.04786127958990013,0.2869332253631315,0.17305729084829283,1
1495,24,576,0.05636178595078592,0.09558489257733249,-0.015114218885881,0.31705209165763104,0.07614756955364202,1
1498,24,576,0.41973269505736727,0.6194578334548905,-0.1370327905493064,0.25745907472559326,0.6108472213769952,1
1501,24,576,0.07318540551285777,0.12421698811854906,-0.014817131398659613,0.6580532117296078,0.0841649305075407,1
1503,24,576,0.27020006668883273,0.4960109644813861,-0.08143422896844438,0.43443389318428594,0.3493871533557669,1
1507,24,576,0.2016989251003704,0.3229895442151984,-0.09369792870711535,0.21552381820506228,0.24994444228812224,1
1509,24,576,0.172593226759798,0.35737534888220174,-0.0747660031904363,0.22203094024028192,0.24738541930047278,1
1512,24,576,0.11557403041256799,0.24114747504552972,-0.05058325765033563,0.3677111160087181,0.1514340291161918,1
1520,24,576,0.22217930087612736,0.36942812492752336,-0.0696182834605376,0.7408492911832298,0.2818472170167499,1
